                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.67244,                0.56973,                0.99759,                0.80669,                0.83446,                0.85197,                0.69301,                0.73042,                0.69002,                 1.0056,             0.00082067,             0.00082067,             0.00082067
                    131,                 0.6803,                0.57175,                 1.0012,                0.78247,                0.82753,                0.84602,                0.69384,                0.72733,                0.68477,                 1.0113,             0.00081596,             0.00081596,             0.00081596
                    132,                0.67894,                0.56598,                 1.0073,                0.77723,                0.83385,                0.84676,                0.69738,                0.73174,                0.70376,                 1.0104,             0.00081124,             0.00081124,             0.00081124
                    133,                0.67498,                0.57848,                0.99621,                0.77087,                0.84539,                0.85035,                0.69706,                0.72532,                0.69237,                0.99833,             0.00080653,             0.00080653,             0.00080653
                    134,                0.66004,                0.57447,                0.99111,                0.78328,                0.82114,                0.84637,                 0.6949,                0.70526,                0.67978,                0.99795,             0.00080181,             0.00080181,             0.00080181
                    135,                0.65821,                0.56773,                0.99706,                0.75645,                0.87333,                0.84899,                0.69794,                0.70309,                0.68103,                0.99226,              0.0007971,              0.0007971,              0.0007971
                    136,                0.65807,                0.55852,                 1.0034,                0.77546,                0.86706,                0.83266,                 0.6825,                0.71294,                 0.7017,                 1.0002,             0.00079238,             0.00079238,             0.00079238
                    137,                0.65683,                0.55382,                0.98951,                0.77142,                0.83639,                0.82693,                0.67362,                0.71596,                0.71215,                 1.0012,             0.00078766,             0.00078766,             0.00078766
                    138,                0.66403,                0.57003,                 1.0057,                0.76672,                0.87406,                0.84719,                0.68966,                0.72049,                0.68273,                0.99863,             0.00078295,             0.00078295,             0.00078295
                    139,                0.64562,                0.55262,                 0.9955,                0.79263,                0.83741,                0.84867,                0.69725,                 0.7138,                0.68028,                 0.9933,             0.00077823,             0.00077823,             0.00077823
                    140,                0.65764,                0.55267,                0.98678,                0.75365,                0.87714,                 0.8474,                0.69622,                0.71345,                0.70306,                0.98707,             0.00077352,             0.00077352,             0.00077352
                    141,                0.64995,                0.54559,                 0.9936,                0.75738,                0.87271,                 0.8458,                0.69529,                0.71849,                 0.7081,                 0.9931,              0.0007688,              0.0007688,              0.0007688
                    142,                0.67377,                0.56124,                 1.0011,                0.78607,                0.81801,                0.82669,                0.67882,                  0.708,                0.71131,                0.98792,             0.00076409,             0.00076409,             0.00076409
                    143,                0.65657,                0.55824,                0.98798,                 0.8003,                0.84932,                0.85221,                0.69844,                0.71173,                0.69291,                0.98879,             0.00075937,             0.00075937,             0.00075937
                    144,                0.64046,                0.53629,                 0.9855,                0.77989,                0.82851,                 0.8329,                0.68231,                0.71111,                0.69411,                0.98521,             0.00075465,             0.00075465,             0.00075465
                    145,                0.66243,                0.55133,                0.99686,                0.76883,                0.86995,                0.83899,                0.68499,                0.71005,                0.69477,                0.98834,             0.00074994,             0.00074994,             0.00074994
                    146,                0.64661,                0.53923,                0.98232,                0.79578,                0.80153,                0.82963,                0.68561,                0.69133,                 0.7205,                0.97274,             0.00074522,             0.00074522,             0.00074522
                    147,                0.65601,                0.54335,                0.99486,                0.75037,                0.87189,                0.84153,                0.69331,                0.70194,                0.70912,                0.98501,             0.00074051,             0.00074051,             0.00074051
                    148,                0.63845,                0.53579,                0.98181,                0.76442,                0.87391,                0.85221,                0.70146,                0.69018,                0.68224,                0.98087,             0.00073579,             0.00073579,             0.00073579
                    149,                 0.6481,                0.53608,                0.99409,                0.78034,                0.86362,                0.83826,                0.69053,                0.69636,                0.71326,                0.98499,             0.00073108,             0.00073108,             0.00073108
                    150,                0.65009,                0.53582,                0.99479,                0.77303,                0.83515,                0.83676,                0.68673,                0.70981,                0.71882,                0.99113,             0.00072636,             0.00072636,             0.00072636
                    151,                0.66465,                0.53755,                0.98926,                0.78944,                0.84912,                0.83497,                0.68663,                0.70455,                0.69687,                0.99227,             0.00072164,             0.00072164,             0.00072164
                    152,                0.63028,                0.51869,                0.98344,                0.76958,                0.84381,                0.83783,                0.69201,                 0.6859,                0.70515,                0.97422,             0.00071693,             0.00071693,             0.00071693
                    153,                0.63833,                0.52401,                0.98028,                0.77209,                0.86214,                0.84554,                0.69784,                0.70133,                  0.714,                0.99134,             0.00071221,             0.00071221,             0.00071221
                    154,                0.63947,                0.52225,                0.98605,                0.75527,                0.84618,                0.82956,                0.68387,                0.70328,                0.71464,                0.98791,              0.0007075,              0.0007075,              0.0007075
