                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.94272,                0.56758,                 1.0205,                0.94627,                0.87302,                0.90398,                0.66665,                0.94556,                0.69885,                 1.0088,             0.00099036,             0.00099036,             0.00099036
                     84,                0.93925,                0.57167,                 1.0215,                0.93128,                0.85317,                0.90435,                0.67336,                0.91741,                0.64903,                 1.0032,             0.00098211,             0.00098211,             0.00098211
                     85,                0.93586,                0.56457,                 1.0252,                0.94956,                0.87434,                0.91112,                0.67382,                0.92953,                0.65018,                 1.0158,             0.00097386,             0.00097386,             0.00097386
                     86,                0.96135,                 0.5638,                 1.0296,                0.94177,                0.86992,                0.91221,                0.67006,                 0.9436,                0.67969,                 1.0185,             0.00096561,             0.00096561,             0.00096561
                     87,                0.93778,                0.56257,                 1.0255,                0.93145,                0.88492,                0.90056,                0.67063,                  0.931,                 0.6649,                 1.0228,             0.00095736,             0.00095736,             0.00095736
                     88,                0.92105,                0.55417,                 1.0176,                 0.9259,                0.88899,                0.90522,                0.67253,                0.95764,                0.65882,                  1.025,             0.00094911,             0.00094911,             0.00094911
                     89,                0.90967,                0.53802,                 1.0119,                0.90164,                 0.8869,                0.91262,                0.67351,                0.92698,                0.65286,                 1.0027,             0.00094085,             0.00094085,             0.00094085
                     90,                 0.9217,                0.54575,                 1.0119,                0.95928,                0.88022,                0.92623,                0.69414,                 0.9178,                0.63196,                0.99738,              0.0009326,              0.0009326,              0.0009326
                     91,                0.92629,                0.55235,                 1.0104,                 0.9477,                0.88823,                0.91196,                0.67778,                0.92226,                0.63473,                  1.002,             0.00092435,             0.00092435,             0.00092435
                     92,                0.92172,                0.54839,                  1.006,                0.93039,                0.87451,                0.91962,                0.68949,                0.92905,                0.61704,                 1.0068,              0.0009161,              0.0009161,              0.0009161
                     93,                0.92153,                0.54339,                 1.0062,                0.93877,                0.89067,                0.91771,                0.68793,                0.92122,                 0.6585,                0.99294,             0.00090785,             0.00090785,             0.00090785
                     94,                0.90614,                0.53814,                 1.0076,                0.94312,                0.88979,                0.90721,                0.67514,                0.94899,                0.65957,                 1.0125,              0.0008996,              0.0008996,              0.0008996
                     95,                0.90792,                0.53058,                 1.0094,                 0.9341,                0.89286,                0.90652,                0.67486,                0.93038,                0.65095,                0.99455,             0.00089134,             0.00089134,             0.00089134
                     96,                0.91832,                0.54228,                 1.0127,                 0.9356,                0.88492,                 0.9059,                 0.6845,                0.91766,                0.66692,                0.99072,             0.00088309,             0.00088309,             0.00088309
                     97,                0.90566,                 0.5359,                 1.0045,                0.93399,                0.89051,                0.91165,                0.68822,                0.91481,                0.65526,                0.98205,             0.00087484,             0.00087484,             0.00087484
                     98,                0.89707,                0.53139,                0.99592,                0.93629,                0.87169,                0.91219,                0.68089,                0.90509,                 0.6286,                0.98579,             0.00086659,             0.00086659,             0.00086659
                     99,                0.91788,                 0.5432,                 1.0091,                0.92742,                0.87958,                0.90874,                0.66878,                 0.9675,                0.64495,                 1.0349,             0.00085834,             0.00085834,             0.00085834
                    100,                0.89671,                0.53505,                 1.0022,                0.95414,                0.87757,                0.91511,                0.68163,                0.91316,                0.61663,                 1.0068,             0.00085009,             0.00085009,             0.00085009
                    101,                0.90238,                0.52924,                 1.0019,                0.94891,                 0.8836,                0.91507,                 0.6873,                0.92247,                0.60537,                 1.0001,             0.00084184,             0.00084184,             0.00084184
                    102,                0.88718,                 0.5179,                0.99917,                0.92678,                0.87848,                0.91778,                0.69056,                0.91384,                0.63332,                0.98378,             0.00083358,             0.00083358,             0.00083358
                    103,                0.90073,                0.52409,                 1.0019,                0.91848,                0.87709,                0.90184,                 0.6875,                0.89729,                0.65104,                0.97821,             0.00082533,             0.00082533,             0.00082533
                    104,                0.87927,                0.51804,                0.99052,                 0.9127,                0.89171,                0.90588,                0.68779,                0.92499,                0.65221,                0.99942,             0.00081708,             0.00081708,             0.00081708
                    105,                0.89187,                0.51703,                 0.9951,                0.93947,                0.87826,                0.92084,                0.69782,                0.91346,                0.61079,                0.99305,             0.00080883,             0.00080883,             0.00080883
                    106,                0.87305,                0.51549,                0.99163,                0.92511,                0.88812,                0.90348,                0.66692,                0.92078,                0.64946,                 1.0086,             0.00080058,             0.00080058,             0.00080058
                    107,                0.86966,                0.51201,                0.99295,                0.93289,                0.87214,                0.92448,                0.68047,                0.92268,                0.62397,                0.99427,             0.00079233,             0.00079233,             0.00079233
                    108,                0.88961,                0.51361,                0.99176,                0.93067,                0.86115,                0.90822,                0.68042,                0.91888,                0.64138,                 1.0035,             0.00078407,             0.00078407,             0.00078407
                    109,                0.85774,                0.49908,                0.98842,                0.95156,                0.85721,                0.91947,                0.69388,                0.91519,                0.61852,                0.98736,             0.00077582,             0.00077582,             0.00077582
                    110,                0.87461,                0.50204,                0.99351,                0.94209,                0.90108,                0.92412,                0.69841,                0.90478,                0.58698,                0.98454,             0.00076757,             0.00076757,             0.00076757
                    111,                0.87109,                0.50731,                 0.9859,                0.94485,                0.88252,                0.91911,                 0.6949,                0.89021,                0.62115,                0.97861,             0.00075932,             0.00075932,             0.00075932
                    112,                0.86279,                0.49689,                0.99386,                0.95112,                0.84392,                0.91635,                0.69215,                 0.9113,                0.64556,                 1.0035,             0.00075107,             0.00075107,             0.00075107
                    113,                0.86572,                 0.4973,                0.98242,                0.94935,                0.87164,                0.91375,                0.68351,                0.93401,                0.62751,                  0.991,             0.00074282,             0.00074282,             0.00074282
                    114,                0.86148,                0.49565,                0.98879,                0.95038,                0.87042,                0.91335,                0.69369,                0.90785,                0.59354,                0.98769,             0.00073456,             0.00073456,             0.00073456
                    115,                0.86573,                0.49144,                0.98572,                0.95588,                0.86971,                0.90945,                0.68448,                0.94268,                0.63612,                 1.0167,             0.00072631,             0.00072631,             0.00072631
                    116,                0.83861,                 0.4847,                0.97568,                0.93993,                0.87219,                0.91087,                0.68466,                0.92993,                0.66068,                0.99713,             0.00071806,             0.00071806,             0.00071806
                    117,                0.84431,                0.48447,                0.97803,                0.91801,                0.86113,                0.90557,                0.68379,                0.91888,                0.65462,                 1.0141,             0.00070981,             0.00070981,             0.00070981
                    118,                0.87013,                 0.4946,                 0.9855,                0.93954,                0.88488,                 0.9077,                0.68452,                0.92832,                0.60942,                 1.0236,             0.00070156,             0.00070156,             0.00070156
                    119,                0.84428,                0.48498,                0.98184,                0.94076,                0.85892,                 0.9015,                0.67402,                0.93758,                0.68381,                 1.0229,             0.00069331,             0.00069331,             0.00069331
                    120,                0.86106,                0.48532,                0.97964,                0.93939,                0.87517,                0.90931,                0.68443,                0.91819,                0.65235,                 1.0172,             0.00068505,             0.00068505,             0.00068505
